id,thread_number,retweets,likes,replies
965240035279859713,Thread 30,6,41,1
965240363433779201,Thread 30,1,17,1
965240974111903744,Thread 30,1,18,1
965241761953181696,Thread 30,3,21,2
965243962708590594,Thread 30,9,42,5
965244132691234816,Thread 30,1,19,1
965244363956801536,Thread 30,1,15,1
965245064837464064,Thread 30,2,16,1
965245542564532224,Thread 30,6,25,1
965246046027776000,Thread 30,1,18,1
965246418402373632,Thread 30,4,19,1
965246856535203841,Thread 30,3,18,2
965247995657760768,Thread 30,5,27,2
965248286608281601,Thread 30,4,17,1
965249110726111232,Thread 30,9,18,1
965249909367672833,Thread 30,2,13,1
965250638618791938,Thread 30,4,16,2
965251190203342854,Thread 30,4,16,1
961073755601686529,Thread 31,954,1295,300
961074749165178880,Thread 31,89,209,28
961076452878888960,Thread 31,67,247,11
961076949568270336,Thread 31,112,365,19
961078762887630849,Thread 31,101,287,5
961079073832361984,Thread 31,89,231,5
961079548023582720,Thread 31,89,220,5
961081730730995721,Thread 31,71,227,4
961082561417146369,Thread 31,56,155,3
961083873882005505,Thread 31,104,237,1
961084458555277312,Thread 31,109,210,8
961085694889390080,Thread 31,83,166,2
961086618240155648,Thread 31,85,161,5
961088029724172288,Thread 31,74,164,2
961089063800406018,Thread 31,57,149,4
961090581530398720,Thread 31,102,228,12
961091880422395904,Thread 31,42,439,25
961092383474675714,Thread 31,71,299,23
961094185075036162,Thread 31,145,393,52
944062711503077376,Thread 32,212,163,13
944062723070889984,Thread 32,27,36,4
944062745585975298,Thread 32,26,27,1
944062757841731585,Thread 32,30,39,5
944062761209798656,Thread 32,21,31,2
944062780818145281,Thread 32,19,25,1
944062795661828097,Thread 32,17,24,3
944062799486926848,Thread 32,11,30,2
944062811956637696,Thread 32,20,25,1
944062818302672897,Thread 32,21,34,2
944062820215222273,Thread 32,19,30,4
944062824002625536,Thread 32,20,32,2
944062822106808320,Thread 32,19,28,1
944062827291017216,Thread 32,28,33,4
944062825344909312,Thread 32,23,30,3
944062837722193920,Thread 32,46,57,1
993695458517110784,Thread 33,504,1575,37
993695461797126144,Thread 33,9,100,2
993695460190699521,Thread 33,22,175,2
993695461063114752,Thread 33,6,90,2
993695462606585856,Thread 33,18,146,2
993695459284680705,Thread 33,4,81,3
993695465928454144,Thread 33,14,137,1
993695464351449088,Thread 33,8,89,1
993695465144180737,Thread 33,26,172,1
993695466716975104,Thread 33,14,107,2
993695463571271680,Thread 33,6,80,1
993695471150350336,Thread 33,9,79,1
993695467509768193,Thread 33,9,67,2
993695468319227904,Thread 33,7,80,1
993695470311493634,Thread 33,8,59,2
993695469552386048,Thread 33,16,143,1
993695472802873344,Thread 33,15,194,3
993695471968313344,Thread 33,12,98,15
960976978466586624,Thread 34,137,191,6
960977552650088448,Thread 34,36,132,2
960977929898377216,Thread 34,26,115,1
960978703764267008,Thread 34,29,114,2
960979386760445952,Thread 34,25,105,2
960979785093562368,Thread 34,27,128,3
960980142641184768,Thread 34,19,134,2
960980831102619648,Thread 34,14,113,1
960981367080153088,Thread 34,18,124,2
960981767984373760,Thread 34,41,215,4
960982338917158912,Thread 34,16,168,2
960982943593189376,Thread 34,24,149,1
960983668901625856,Thread 34,28,150,2
960984219395616768,Thread 34,41,160,1
960985011255107584,Thread 34,22,125,1
960985520875610112,Thread 34,13,103,1
960986720320671744,Thread 34,24,115,3
960987333494370304,Thread 34,18,103,2
960987791239790592,Thread 34,20,152,19
977661196378693632,Thread 35,2033,2461,72
977663470240858112,Thread 35,163,248,7
977665090005553152,Thread 35,72,154,3
977666478055944192,Thread 35,95,191,3
977667330502086656,Thread 35,81,182,3
977668754099265537,Thread 35,112,194,4
977669724841521152,Thread 35,71,142,4
977670969786445824,Thread 35,80,154,2
977671911965523969,Thread 35,79,143,3
977673731068788737,Thread 35,152,247,7
977675106506784768,Thread 35,70,144,1
